"portal","geo","month","NormalizedSI","pctTot"
"Portal - Boat Trader Online","Australiasia - Geographical Area",4,1.05188311125242,0.0876569259377017
"Portal - Boat Trader Online","Australiasia - Geographical Area",5,1.00165535365119,0.0834712794709326
"Portal - Boat Trader Online","Australiasia - Geographical Area",6,0.89755009222015,0.0747958410183459
"Portal - Boat Trader Online","Australiasia - Geographical Area",7,0.913945827204202,0.0761621522670168
"Portal - Boat Trader Online","Australiasia - Geographical Area",8,0.949443359016443,0.0791202799180369
"Portal - Boat Trader Online","Australiasia - Geographical Area",9,0.92486381806265,0.0770719848385542
"Portal - Boat Trader Online","Australiasia - Geographical Area",10,0.893594117284033,0.0744661764403361
"Portal - Boat Trader Online","Australiasia - Geographical Area",11,0.867402188441585,0.0722835157034654
"Portal - Boat Trader Online","Australiasia - Geographical Area",12,0.917523703429996,0.0764603086191663
"Portal - Boat Trader Online","MiddleEast - Geographical Area",1,0.720287528135966,0.0600239606779972
"Portal - Boat Trader Online","MiddleEast - Geographical Area",2,0.807503716791918,0.0672919763993265
"Portal - Boat Trader Online","MiddleEast - Geographical Area",3,0.911826912545224,0.0759855760454353
"Portal - Boat Trader Online","MiddleEast - Geographical Area",4,1.01053607559416,0.0842113396328463
"Portal - Boat Trader Online","MiddleEast - Geographical Area",5,1.32773401779475,0.110644501482896
"Portal - Boat Trader Online","MiddleEast - Geographical Area",6,1.27527185010906,0.106272654175755
"Portal - Boat Trader Online","MiddleEast - Geographical Area",7,1.13769748243068,0.0948081235358896
"Portal - Boat Trader Online","MiddleEast - Geographical Area",8,1.26214866658233,0.105179055548527
"Portal - Boat Trader Online","MiddleEast - Geographical Area",9,1.18202898206176,0.098502415171813
"Portal - Boat Trader Online","MiddleEast - Geographical Area",10,0.956127845755046,0.0796773204795872
"Portal - Boat Trader Online","MiddleEast - Geographical Area",11,0.73615150076883,0.0613459583974025
"Portal - Boat Trader Online","MiddleEast - Geographical Area",12,0.672685421430288,0.056057118452524
"Portal - Boat Trader Online","SouthAmerica - Geographical Area",1,1.20698391604292,0.100581993003576
"Portal - Boat Trader Online","SouthAmerica - Geographical Area",2,1.24445973147804,0.10370497762317
"Portal - Boat Trader Online","SouthAmerica - Geographical Area",3,1.14136606148254,0.0951138384568782
"Portal - Boat Trader Online","SouthAmerica - Geographical Area",4,0.964915476167211,0.0804096230139342
"Portal - Boat Trader Online","SouthAmerica - Geographical Area",5,0.883040903672145,0.0735867419726788
"Portal - Boat Trader Online","SouthAmerica - Geographical Area",6,0.844870917938596,0.0704059098282163
"Portal - Boat Trader Online","SouthAmerica - Geographical Area",7,0.966547714436475,0.0805456428697063
"Portal - Boat Trader Online","SouthAmerica - Geographical Area",8,1.01768648986691,0.0848072074889093
"Portal - Boat Trader Online","SouthAmerica - Geographical Area",9,0.974704215442944,0.081225351286912
"Portal - Boat Trader Online","SouthAmerica - Geographical Area",10,0.935835369071117,0.0779862807559264
"Portal - Boat Trader Online","SouthAmerica - Geographical Area",11,0.954418495573492,0.0795348746311243
"Portal - Boat Trader Online","SouthAmerica - Geographical Area",12,0.86517070882761,0.0720975590689675
"Portal - Boat Trader Online","US_New_England - Geographical Area",1,0.687836628885363,0.0573197190737802
"Portal - Boat Trader Online","US_New_England - Geographical Area",2,0.897686166781133,0.0748071805650944
"Portal - Boat Trader Online","US_New_England - Geographical Area",3,0.984460484926634,0.0820383737438862
"Portal - Boat Trader Online","US_New_England - Geographical Area",4,0.970700487371181,0.0808917072809318
"Portal - Boat Trader Online","US_New_England - Geographical Area",5,1.17123918776981,0.0976032656474843
"Portal - Boat Trader Online","US_New_England - Geographical Area",6,1.33103975623174,0.110919979685978
"Portal - Boat Trader Online","US_New_England - Geographical Area",7,1.53831341505056,0.128192784587547
"Portal - Boat Trader Online","US_New_England - Geographical Area",8,1.57385740691072,0.131154783909227
"Portal - Boat Trader Online","US_New_England - Geographical Area",9,1.17401159339181,0.0978342994493175
"Portal - Boat Trader Online","US_New_England - Geographical Area",10,0.652070053446221,0.0543391711205184
"Portal - Boat Trader Online","US_New_England - Geographical Area",11,0.524220431623779,0.0436850359686483
"Portal - Boat Trader Online","US_New_England - Geographical Area",12,0.494564387611042,0.0412136989675868
"Portal - Boat Trader Online","US_Mid_Atlantic - Geographical Area",1,0.713256756196382,0.0594380630163651
"Portal - Boat Trader Online","US_Mid_Atlantic - Geographical Area",2,0.884853167527326,0.0737377639606105
"Portal - Boat Trader Online","US_Mid_Atlantic - Geographical Area",3,0.971021838875785,0.080918486572982
